To,Location 1,Location 2,Location 3,From,Notes,Delivered Notes,Locker Number,Locker Bank,Carrier,Tracking #,Transaction Status ,Routed by,Routed Date Time,Stored Date Time,Delivered by,Delivered To,Delivered Date Time,Stored by,Origin City,Origin State,Origin Zip,Origin Country
,5993,,, Amazon,,,35.0,Bank 5,Amazon,TBA319383027359_,Delivered,,,2/14/25 12:15,,,2/18/25 23:14,,,,,
,6397,,,USPS,,,54.0,Bank 1,USPS,00009302120184900316833399_,Delivered,,,2/18/25 10:11,,,2/18/25 22:45,,,,,US
,5803,,,,,,39.0,Bank 7,USPS,22479400108105463440544682_,Delivered,,,2/18/25 10:24,,,2/18/25 21:45,,,,,US
,4542,,,Ups,,,13.0,Bank 7,UPS,1ZH93Y971214113005_,Delivered,,,2/18/25 11:37,,,2/18/25 21:35,,Sacramento,CA,95835,US
,6218,,,Amre,,,13.0,Bank 5,USPS,9534614852415045806637_,Delivered,,,2/18/25 9:25,,,2/18/25 21:29,,Somers,NY,10589,US
,5917,,,,,,43.0,Bank 4,FedEx,434669328308_,Delivered,,,2/18/25 12:11,,,2/18/25 21:28,,Conklin,NY,,US
,3197,,,Home,,,83.0,Bank 8,USPS,9505506592765043404142_,Delivered,,,2/18/25 9:26,,,2/18/25 21:27,,Peabody,MA,01960,US
,6322,,,Lv,,,28.0,Bank 5,USPS,9261290367755113778481_,Delivered,,,2/18/25 9:37,,,2/18/25 21:07,,Shrewsbury,MA,01546,US
,5271,,,,,,70.0,Bank 7,USPS,9400136208271332430833_,Delivered,,,2/18/25 10:15,,,2/18/25 20:50,,San Bernardino,CA,92408,US
,2207,,,Peppermayo,,,66.0,Bank 7,USPS,9261290316841507669377_,Delivered,,,2/18/25 9:47,,,2/18/25 20:49,,Shrewsbury,MA,01546,US
,6597,,,,,,16.0,Bank 7,Amazon,TBA319321142652_,Delivered,,,2/18/25 12:01,,,2/18/25 20:48,,,,,
,6223,,,Kim,,,40.0,Bank 5,USPS,92001903651784300029997653_,Delivered,,,2/18/25 9:40,,,2/18/25 20:32,,Mayer,MN,55360,US
,6223,,,,,,32.0,Bank 7,FedEx,444844832649_,Delivered,,,2/18/25 12:02,,,2/18/25 20:31,,,,,
,2157,,,,,,14.0,Bank 4,FedEx,285433819567_,Delivered,,,2/18/25 12:12,,,2/18/25 20:29,,,,,
,2157,,,Ups,,,4.0,Bank 4,UPS,1Z0F57320316923934_,Delivered,,,2/18/25 11:30,,,2/18/25 20:28,,Goodyear,AZ,85338,US
,5621,,,Sterling,,,19.0,Bank 7,USPS,92001903470167300222086457_,Delivered,,,2/18/25 9:46,,,2/18/25 20:23,,,,,US
,4185,,,Friend,,,58.0,Bank 5,USPS,9434640104250000473581_,Delivered,,,2/18/25 9:31,,,2/18/25 20:19,,Jackson,MO,63755,US
,2594,,,Omnis,,,73.0,Bank 8,USPS,9405511105503432018722_,Delivered,,,2/18/25 9:29,,,2/18/25 20:14,,Van Nuys,CA,91406,US
,5071,,,Desk,Rear floor,,,,FedEx,777464651981_,Delivered,,7/22/24 12:25,,,,2/18/25 20:14,,Northampton,PA,,US
,5071,,,Couch,"100 pounds ,Rear floor",,,,FedEx,277214814923_,Delivered,,7/23/24 12:04,,,,2/18/25 20:14,,Trenton,NJ,,US
,5071,,,Chair,On rear floor,,,,FedEx,777464651227_,Delivered,,7/23/24 12:06,,,,2/18/25 20:14,,Olive Branch,MS,,US
,5071,,,Couch,Rear floor,,,,FedEx,277214875752_,Delivered,,7/24/24 14:28,,,,2/18/25 20:14,,Trenton,NJ,,US
,5071,,,Amazon,Rack 2,,,,Amazon,TBA315251533976_,Delivered,,8/23/24 12:40,,,,2/18/25 20:14,,,,,
,5071,,,USPS,,,66.0,Bank 2,USPS,9300189690000522491682_,Delivered,,,2/18/25 10:18,,,2/18/25 20:13,,Hebron,KY,41048,US
,5803,,,Loudmouth,,,67.0,Bank 5,USPS,9261290316844312571385_,Delivered,,,2/18/25 9:47,,,2/18/25 20:11,,Shrewsbury,MA,01546,US
,5803,,,,,,12.0,Bank 6,Amazon,TBA319359245178_,Delivered,,,2/13/25 13:00,,,2/18/25 20:11,,,,,
,5089,,,,,,44.0,Bank 4,FedEx,522379101992_,Delivered,,,2/18/25 12:23,,,2/18/25 20:05,,Memphis,TN,,US
,5588,,,USPS,,,49.0,Bank 3,USPS,9400136208271330509128_,Delivered,,,2/18/25 9:50,,,2/18/25 20:04,,Clermont,FL,34715,US
,5256,,,,,,62.0,Bank 2,Amazon,TBA319324432509_,Delivered,,,2/14/25 12:39,,,2/18/25 19:59,,,,,
,1875,,,,,,16.0,Bank 4,UPS,1Z0E96840178424004_,Delivered,,,2/18/25 11:36,,,2/18/25 19:28,,Ardsley,NY,10502,US
,4027,,,Home,,,78.0,Bank 8,USPS,9534613174075044687587_,Delivered,,,2/18/25 9:23,,,2/18/25 19:10,,Newtonville,MA,02460,US
,3478,,,USPS,,,47.0,Bank 7,USPS,9300189821800309753853_,Delivered,,,2/18/25 9:37,,,2/18/25 19:03,,Bellmawr,NJ,08031,US
,3478,,,USPS,,,47.0,Bank 7,USPS,00009300189821800309753853_,Delivered,,,2/18/25 9:37,,,2/18/25 19:03,,,,,US
,2297,,,,,,24.0,Bank 4,UPS,1Z2EF254YW06986461_,Delivered,,,2/18/25 11:40,,,2/18/25 18:59,,Walton,KY,41094,US
,4452,,,,,,19.0,Bank 8,USPS,9261290275213622558722_,Delivered,,,2/17/25 12:45,,,2/18/25 18:46,,,,,US
,6657,,,USPS,,,12.0,Bank 2,USPS,9261290278833973056646_,Delivered,,,2/18/25 10:21,,,2/18/25 18:40,,Shrewsbury,MA,01546,US
,G306,,,Ups,,,68.0,Bank 7,UPS,1ZY4015E0306219588_,Delivered,,,2/18/25 11:39,,,2/18/25 18:26,,Dayton,NJ,08810,US
,5738,,,Pk,,,76.0,Bank 6,USPS,9534613255385041249812_,Delivered,,,2/14/25 9:20,,,2/18/25 18:17,,Nokomis,FL,34275,US
,1252,,,USPS,,,39.0,Bank 8,USPS,92612903031384553010442096_,Delivered,,,2/18/25 9:14,,,2/18/25 18:16,,Shrewsbury,MA,01546,US
,2809,,,Home,,,56.0,Bank 7,USPS,9500115017325042579390_,Delivered,,,2/18/25 9:41,,,2/18/25 18:03,,Wayne,NJ,07470,US
,2809,,,USPS,,,25.0,Bank 2,USPS,9361289725244445429800_,Delivered,,,2/18/25 10:25,,,2/18/25 18:03,,Worcester,MA,01613,US
,1658,,,,,,88.0,Bank 6,Amazon,TBA319330655087_,Delivered,,,2/13/25 12:18,,,2/18/25 17:46,,,,,
,3359,,,Ups,,,77.0,Bank 5,UPS,1Z7759450300036246_,Delivered,,,2/18/25 11:14,,,2/18/25 17:32,,Mansfield,TX,76063,US
,1467,,,,,,13.0,Bank 8,DHL,9234249673_,Delivered,,,2/17/25 11:58,,,2/18/25 17:30,,,,,
,1440,,,,,,75.0,Bank 8,Amazon,TBA319469836074_,Delivered,,,2/18/25 11:59,,,2/18/25 17:16,,,,,
,5996,,,Jacky,,,29.0,Bank 5,USPS,9405536102272890429963_,Delivered,,,2/18/25 9:26,,,2/18/25 17:15,,Forest Park,IL,60130,US
,1751,,,Switi,,,87.0,Bank 5,USPS,22479434608105463406714304_,Delivered,,,2/18/25 9:48,,,2/18/25 17:11,,,,,US
,1751,,,USPS,,,68.0,Bank 2,USPS,92001902410401237680026832_,Delivered,,,2/18/25 10:28,,,2/18/25 17:11,,Flushing,NY,11351,US
,4065,,,Tiktok,,,16.0,Bank 5,USPS,9200190372820000374894_,Delivered,,,2/18/25 9:10,,,2/18/25 17:06,,Mira Loma,CA,91752,US
,2935,,,USPS,,,32.0,Bank 2,USPS,9400136208070413338699_,Delivered,,,2/18/25 10:27,,,2/18/25 16:58,,San Diego,CA,92199,US
,6136,,,Amazon,,,40.0,Bank 2,Amazon,TBA319342591324_,Delivered,,,2/13/25 11:42,,,2/18/25 16:56,,,,,
,5446,,,,,,6.0,Bank 7,USPS,9241990217524436412126_,Delivered,,,2/18/25 10:22,,,2/18/25 16:54,,Shrewsbury,MA,01546,US
,5446,,,Booksrun,,,48.0,Bank 7,USPS,9241990318402217079080_,Delivered,,,2/18/25 10:21,,,2/18/25 16:54,,Shrewsbury,MA,01546,US
,5446,,,USPS,,,48.0,Bank 7,USPS,9241990318413642781349_,Delivered,,,2/18/25 10:21,,,2/18/25 16:54,,Shrewsbury,MA,01546,US
,5446,,,,,,48.0,Bank 7,USPS,22479449008105462469122798_,Delivered,,,2/18/25 10:21,,,2/18/25 16:54,,,,,US
,3929,,,,,,15.0,Bank 8,FedEx,285470670851_,Delivered,,,2/18/25 11:56,,,2/18/25 16:54,,,,,
,5446,,,USPS,,,3.0,Bank 2,USPS,9241990217524436846235_,Delivered,,,2/18/25 10:08,,,2/18/25 16:54,,Shrewsbury,MA,01546,US
,5446,,,Ebay,,,81.0,Bank 5,USPS,22479449008105462474427918_,Delivered,,,2/18/25 9:46,,,2/18/25 16:53,,,,,US
,5446,,,Rush,,,81.0,Bank 5,USPS,9241990113930829648136_,Delivered,,,2/18/25 9:51,,,2/18/25 16:53,,Columbus,OH,43212,US
,5446,,,Kelly,,,81.0,Bank 5,USPS,22479449008105463435264481_,Delivered,,,2/18/25 9:38,,,2/18/25 16:53,,,,,US
,5881,,,USPS,,,55.0,Bank 2,USPS,9400136202436275146180_,Delivered,,,2/18/25 10:10,,,2/18/25 16:53,,San Jose,CA,95110,US
,4902,,,Home,,,16.0,Bank 8,USPS,22479405530109355101933174_,Delivered,,,2/18/25 9:09,,,2/18/25 16:50,,,,,US
,3551,,,USPS,,,6.0,Bank 8,USPS,9534612105365045870501_,Delivered,,,2/18/25 9:28,,,2/18/25 16:46,,Rockland,MA,02370,US
,3551,,,Home,,,6.0,Bank 8,USPS,9534613170415046964363_,Delivered,,,2/18/25 9:08,,,2/18/25 16:46,,Whitman,MA,02382,US
,1600,,,USPS,,,4.0,Bank 1,USPS,9200190378877014226347_,Delivered,,,2/18/25 10:14,,,2/18/25 16:43,,Columbus,NJ,08022,US
,4741,,,,,,48.0,Bank 8,Lasership,1LSCXH300757833_,Delivered,,,2/18/25 14:23,,,2/18/25 16:32,,,,,
,3811,,,,,,54.0,Bank 6,Amazon,TBA319443464349_,Delivered,,,2/18/25 12:22,,,2/18/25 16:30,,,,,
,7003,,,Ups,,,72.0,Bank 5,UPS,1ZK100A4YW48634579_,Delivered,,,2/18/25 11:10,,,2/18/25 16:25,,Bellevue,WA,98004,US
,3414,,,USPS,,,18.0,Bank 1,USPS,9361289725244260500029_,Delivered,,,2/18/25 10:22,,,2/18/25 16:25,,Worcester,MA,01613,US
,5009,,,Opsin,,,42.0,Bank 8,USPS,9200190237568629093922_,Delivered,,,2/18/25 9:19,,,2/18/25 16:23,,Burlington,WI,53105,US
,5335,,,USPS,,,27.0,Bank 8,USPS,92001903478422300138976897_,Delivered,,,2/18/25 9:12,,,2/18/25 16:11,,Gainesville,FL,32601-5111,US
,1990,,,Ups,,,69.0,Bank 7,UPS,1ZJ22G980325395820_,Delivered,,,2/18/25 11:43,,,2/18/25 16:10,,Thornton,CO,80023,US
,1992,,,,,,35.0,Bank 8,OnTrac,D10016105000377_,Delivered,,,2/18/25 14:21,,,2/18/25 16:04,,,,,
,4910,,,Ups,,,21.0,Bank 7,UPS,1Z478A3Y0239263290_,Delivered,,,2/5/25 10:42,,,2/18/25 16:03,,Verona,WI,53593,US
,4980,,,Shein,,,10.0,Bank 6,OnTrac,C25020306763447_,Delivered,,,2/17/25 9:02,,,2/18/25 16:01,,,,,
,4980,,,Shein,,,10.0,Bank 6,Purolator,021000000151_,Delivered,,,2/17/25 9:02,,,2/18/25 16:01,,,,,
,4479,,,,,,80.0,Bank 8,UPS,1ZB3476J0313106925_,Delivered,,,2/18/25 11:28,,,2/18/25 16:01,,Davenport,IA,52806,US
,1049,,,USPS,,,26.0,Bank 1,USPS,9261290357450803064075_,Delivered,,,2/18/25 10:25,,,2/18/25 15:59,,Shrewsbury,MA,01546,US
,6642,,,,,,15.0,Bank 5,UPS,1Z1V4V820329816750_,Delivered,,,2/14/25 10:40,,,2/18/25 15:58,,Royal Oak,MI,48073,US
,4787,,,Home,Rack 1,Rack 1,,,UPS,1Z022E180379201994_,Delivered,,2/13/25 10:43,,,,2/18/25 15:57,,Atascadero,CA,93422,US
,6642,,,Ups,,,87.0,Bank 8,UPS,1Z05RR380330769918_,Delivered,,,2/18/25 11:17,,,2/18/25 15:57,,Burnsville,MN,55306,US
,3835,,,Alltrade,,,62.0,Bank 5,USPS,22479400108105463430388272_,Delivered,,,2/18/25 9:45,,,2/18/25 15:56,,,,,US
,5732,,,,,,53.0,Bank 7,Amazon,TBA319462567756_,Delivered,,,2/18/25 12:15,,,2/18/25 15:54,,,,,
,4202,,,,,,85.0,Bank 8,Lasership,1LS722780497405_,Delivered,,,2/18/25 14:24,,,2/18/25 15:54,,,,,
,6478,,,Duggan,,,7.0,Bank 5,USPS,9534614149075046963420_,Delivered,,,2/18/25 9:10,,,2/18/25 15:52,,Havertown,PA,19083,US
,1165,,,,,,43.0,Bank 7,Amazon,TBA319462345763_,Delivered,,,2/18/25 12:10,,,2/18/25 15:50,,,,,
,6716,,,USPS,,,33.0,Bank 8,USPS,22479434608105463440534197_,Delivered,,,2/18/25 9:13,,,2/18/25 15:49,,,,,US
,5118,,,Ups,,,82.0,Bank 8,UPS,1Z6W2Y920301871188_,Delivered,,,2/18/25 11:18,,,2/18/25 15:48,,Placerville,CA,95667,US
,6552,,,,,,43.0,Bank 6,USPS,9488809000276106857602_,Delivered,,,2/18/25 11:19,,,2/18/25 15:44,,,,,US
,8327,,,Ups,,,44.0,Bank 5,UPS,1Z0100830327922374_,Delivered,,,2/18/25 11:09,,,2/18/25 15:40,,Robbinsville,NJ,08691,US
,2447,,,USPS,,,46.0,Bank 8,UPS,1ZY38R94P297490330_,Delivered,,,2/14/25 10:40,,,2/18/25 15:31,,Charlotte,NC,28269,US
,6974,,,Ups,,,74.0,Bank 7,UPS,1Z3YF3410306407632_,Delivered,,,2/18/25 11:42,,,2/18/25 15:28,,Merrimack,NH,03054,US
,6254,,,,,,59.0,Bank 8,Lasership,1LSCXON004OEB3O_,Delivered,,,2/18/25 14:25,,,2/18/25 15:27,,,,,
,6560,,,,,,55.0,Bank 7,Amazon,TBA319456354803_,Delivered,,,2/18/25 12:16,,,2/18/25 15:26,,,,,
,6928,,,,,,41.0,Bank 8,FedEx,285513734039_,Delivered,,,2/18/25 11:58,,,2/18/25 15:23,,Boylston,MA,,US
,ME S/R,,,Bostontec,,,,,UPS,1ZE471180355420332_,Routed,,2/18/25 15:22,,,,2/18/25 15:21,,Midland,MI,48642,US
,3726,,,Ups,Rack 1,Rack 1,,,UPS,1Z963AA76792262374_,Delivered,,2/18/25 11:15,,,,2/18/25 15:21,,Tokyo,,15000,JP
,1256,,,Russo,,,51.0,Bank 5,USPS,9500112107775045958479_,Delivered,,,2/18/25 9:41,,,2/18/25 15:21,,Orange,CT,06477,US
,2925,,,,,,11.0,Bank 4,UPS,1Z4840V90393427312_,Delivered,,,2/18/25 11:43,,,2/18/25 15:21,,Oak Creek,WI,53154,US
,2191,,,Johnson,Shipping damage,Shipping damage,22.0,Bank 5,USPS,9505514715575045995845_,Delivered,,,2/18/25 9:16,,,2/18/25 15:20,,Seattle,WA,98198,US
,5807,,,Glam,,,38.0,Bank 5,USPS,9261290326110113592810_,Delivered,,,2/18/25 9:39,,,2/18/25 15:19,,Shrewsbury,MA,01546,US
,HUMANITIES & ARTS,,,Ups,,,54.0,Bank 8,UPS,1ZXX34040310823899_,Delivered,,2/18/25 12:07,2/18/25 11:36,,,2/18/25 15:16,,Gordonsville,VA,22942,US
,7009,,,,,,65.0,Bank 3,Amazon,TBA319274952248_,Delivered,,,2/10/25 12:20,,,2/18/25 15:16,,,,,
,8327,,,,,,20.0,Bank 6,Amazon,TBA319399583771_,Delivered,,,2/18/25 12:19,,,2/18/25 15:15,,,,,
,8327,,,,,,20.0,Bank 6,Amazon,TBA319399568830_,Delivered,,,2/18/25 12:18,,,2/18/25 15:15,,,,,
,6798,,,,,,1.0,Bank 6,UPS,1Z2RV5380397860689_,Delivered,,,2/18/25 11:16,,,2/18/25 15:14,,Mattapoisett,MA,02739,US
,CDC,,,Essilor Luxottica,,,,,UPS,1Z8FF3450293474957_,Delivered,,2/18/25 11:11,,,,2/18/25 15:14,,Mason,OH,45040,US
,CDC,,,Essilor Luxottica,,,,,UPS,1Z8FF3450290922567_,Delivered,,2/18/25 11:11,,,,2/18/25 15:14,,Mason,OH,45040,US
,2657,,,,,,1.0,Bank 5,UPS,1ZH922680337086144_,Delivered,,,2/14/25 10:46,,,2/18/25 15:14,,Pico Rivera,CA,90660,US
,3999,,,,,,36.0,Bank 7,FedEx,285491400192_,Delivered,,,2/18/25 12:09,,,2/18/25 15:08,,Long Island City,NY,,US
,3562,,,iFixit,,,74.0,Bank 8,USPS,9400111899560920577450_,Delivered,,,2/18/25 9:20,,,2/18/25 15:08,,San Luis Obispo,CA,93401,US
,6695,,,USPS,,,69.0,Bank 8,UPS,1Z14WW640303973641_,Delivered,,,2/14/25 10:53,,,2/18/25 15:08,,Clayton,IN,46118,US
,3562,,,USPS,,,69.0,Bank 2,USPS,9405511206211793741521_,Delivered,,,2/18/25 10:29,,,2/18/25 15:08,,Portland,OR,97220,US
,2569,,,White,,,2.0,Bank 5,USPS,9405536208070315033374_,Delivered,,,2/18/25 9:11,,,2/18/25 15:06,,Apo,AE,09142,US
,2123,,,,,,22.0,Bank 4,UPS,1Z443766YW61520093_,Delivered,,,2/18/25 11:38,,,2/18/25 15:06,,Springfield Gardens,NY,11413,US
,RRC Sagamore Rd ,,,Cutom,,,,,UPS,1ZA03R690306210903_,Delivered,,2/18/25 10:42,,,,2/18/25 15:03,,Mc Lean,VA,22102,US
,5887,,,Suitcase,Rack 2,Rack 2,,,Lasership,1LSCXO0J007758388_,Delivered,,2/18/25 14:21,,,,2/18/25 15:01,,,,,
,2421,,,,,,17.0,Bank 8,OnTrac,D10016104184312_,Delivered,,,2/18/25 14:24,,,2/18/25 14:59,,,,,
,5551,,,Nathan,,,68.0,Bank 5,USPS,9400140106029003056741_,Delivered,,,2/18/25 9:48,,,2/18/25 14:58,,Shingle Springs,CA,95682,US
,4213,,,,,,27.0,Bank 6,Amazon,TBA319464971648_,Delivered,,,2/18/25 12:20,,,2/18/25 14:55,,,,,
,5973,,,,,,70.0,Bank 2,Parcelforce,LY633148782DE_,Delivered,,,2/18/25 10:30,,,2/18/25 14:54,,,,,
,5784,,,,,,77.0,Bank 7,Amazon,TBA319456598000_,Delivered,,,2/18/25 12:03,,,2/18/25 14:54,,,,,
,6699,,, Amazon,,,6.0,Bank 5,USPS,9361289725244412093188_,Delivered,,,2/18/25 9:09,,,2/18/25 14:54,,Worcester,MA,01613,US
,5784,,,,,,32.0,Bank 4,UPS,1Z08YY74YW23680990_,Delivered,,,2/18/25 11:41,,,2/18/25 14:54,,Rialto,CA,92377,US
,3784,,,,,,11.0,Bank 6,Amazon,TBA319454615475_,Delivered,,,2/18/25 12:17,,,2/18/25 14:53,,,,,
,5917,,,,,,22.0,Bank 6,UPS,1ZY8F920YW44376726_,Delivered,,,2/18/25 11:13,,,2/18/25 14:53,,Schenectady,NY,12304,US
,5917,,,USPS,,,41.0,Bank 1,USPS,9400111899560537375357_,Delivered,,,2/18/25 10:29,,,2/18/25 14:53,,Flushing,NY,11351,US
,4184,,,Sweetwater,,,60.0,Bank 8,USPS,9400140105459001562523_,Delivered,,,2/18/25 9:20,,,2/18/25 14:52,,Fort Wayne,IN,46818,US
,3728,,,Starratt,,,37.0,Bank 5,USPS,22479400108105463426604898_,Delivered,,,2/18/25 9:39,,,2/18/25 14:50,,,,,US
,1004,,,USPS,,,62.0,Bank 1,USPS,92419902118773583008001039_,Delivered,,,2/18/25 10:17,,,2/18/25 14:50,,Springfield,MA,01152,US
,3202,,,Ups,,,40.0,Bank 7,UPS,1ZV38J030327791141_,Delivered,,,2/18/25 11:40,,,2/18/25 14:50,,Bolton,MA,01740,US
,3034,,,USPS,,,31.0,Bank 8,USPS,9200190358878611679846_,Delivered,,,2/18/25 9:11,,,2/18/25 14:50,,Jamaica,NY,11434,US
,3728,,,Salvation Army,,,4.0,Bank 3,USPS,9434636208271305441417_,Delivered,,,2/18/25 9:51,,,2/18/25 14:49,,Detroit,MI,48216,US
,6541,,,,,,11.0,Bank 8,Lasership,1LSCYG5004NRE92_,Delivered,,,2/18/25 14:23,,,2/18/25 14:49,,,,,
,5042,,,DesignerGreek,,,10.0,Bank 7,USPS,9434611206211796904915_,Delivered,,,2/18/25 9:36,,,2/18/25 14:49,,Round Rock,TX,78665,US
